36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
10:15:59.0 (364458)|USER_INFO|[EXTERNAL]|00541000001IQl9|wjw@stuff.com|Pacific Standard Time|GMT-08:00
10:15:59.0 (396924)|EXECUTION_STARTED
10:15:59.0 (402915)|CODE_UNIT_STARTED|[EXTERNAL]|01q410000019tMZ|CheckSecretInformation on Case trigger event AfterInsert for [50041000003lmyP]
10:15:59.0 (480928)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:15:59.0 (1039491)|HEAP_ALLOCATE|[72]|Bytes:3
10:15:59.0 (1107076)|HEAP_ALLOCATE|[77]|Bytes:152
10:15:59.0 (1137500)|HEAP_ALLOCATE|[342]|Bytes:408
10:15:59.0 (1169428)|HEAP_ALLOCATE|[355]|Bytes:408
10:15:59.0 (1198110)|HEAP_ALLOCATE|[467]|Bytes:48
10:15:59.0 (1245743)|HEAP_ALLOCATE|[139]|Bytes:6
10:15:59.0 (1275836)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
10:15:59.0 (1412771)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
10:15:59.0 (1424789)|VARIABLE_SCOPE_BEGIN|[1]|this|CheckSecretInformation|true|false
10:15:59.0 (1492881)|VARIABLE_ASSIGNMENT|[1]|this|{}|0xb71eb46
10:15:59.0 (1545699)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
10:15:59.0 (1553107)|VARIABLE_SCOPE_BEGIN|[1]|this|CheckSecretInformation|true|false
10:15:59.0 (1567436)|VARIABLE_ASSIGNMENT|[1]|this|{}|0xb71eb46
10:15:59.0 (1574694)|STATEMENT_EXECUTE|[1]
10:15:59.0 (1576750)|STATEMENT_EXECUTE|[3]
10:15:59.0 (1580950)|HEAP_ALLOCATE|[3]|Bytes:44
10:15:59.0 (1618560)|HEAP_ALLOCATE|[50]|Bytes:5
10:15:59.0 (1646986)|HEAP_ALLOCATE|[56]|Bytes:5
10:15:59.0 (1656393)|HEAP_ALLOCATE|[64]|Bytes:7
10:15:59.0 (1708203)|VARIABLE_ASSIGNMENT|[3]|this.childCasesSubject|"Warning: Parent case (24 more) ..."|0xb71eb46
10:15:59.0 (1711668)|STATEMENT_EXECUTE|[6]
10:15:59.0 (1718302)|HEAP_ALLOCATE|[6]|Bytes:4
10:15:59.0 (1796582)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:15:59.0 (1818608)|VARIABLE_ASSIGNMENT|[6]|this.secretKeywords|{"s":1,"v":[]}|0xb71eb46
10:15:59.0 (1821954)|STATEMENT_EXECUTE|[7]
