36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
11:44:33.0 (378257)|USER_INFO|[EXTERNAL]|00541000001IQl9|wjw@stuff.com|Pacific Standard Time|GMT-08:00
11:44:33.0 (411637)|EXECUTION_STARTED
11:44:33.0 (417000)|CODE_UNIT_STARTED|[EXTERNAL]|01q410000019tMZ|CheckSecretInformation on Case trigger event AfterInsert for [50041000003lnbE]
11:44:33.0 (478270)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:44:33.0 (989655)|HEAP_ALLOCATE|[72]|Bytes:3
11:44:33.0 (1062732)|HEAP_ALLOCATE|[77]|Bytes:152
11:44:33.0 (1083961)|HEAP_ALLOCATE|[342]|Bytes:408
11:44:33.0 (1103654)|HEAP_ALLOCATE|[355]|Bytes:408
11:44:33.0 (1122465)|HEAP_ALLOCATE|[467]|Bytes:48
11:44:33.0 (1191249)|HEAP_ALLOCATE|[139]|Bytes:6
11:44:33.0 (1210881)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
11:44:33.0 (1318587)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:44:33.0 (1329075)|VARIABLE_SCOPE_BEGIN|[1]|this|CheckSecretInformation|true|false
11:44:33.0 (1693517)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x1d3f298
11:44:33.0 (1764427)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:44:33.0 (1772361)|VARIABLE_SCOPE_BEGIN|[1]|this|CheckSecretInformation|true|false
11:44:33.0 (1786705)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x1d3f298
11:44:33.0 (1794073)|STATEMENT_EXECUTE|[1]
11:44:33.0 (1796260)|STATEMENT_EXECUTE|[3]
11:44:33.0 (1800024)|HEAP_ALLOCATE|[3]|Bytes:44
11:44:33.0 (1837869)|HEAP_ALLOCATE|[50]|Bytes:5
11:44:33.0 (1865204)|HEAP_ALLOCATE|[56]|Bytes:5
11:44:33.0 (1874473)|HEAP_ALLOCATE|[64]|Bytes:7
11:44:33.0 (1946830)|VARIABLE_ASSIGNMENT|[3]|this.childCasesSubject|"Warning: Parent case (24 more) ..."|0x1d3f298
11:44:33.0 (1952425)|STATEMENT_EXECUTE|[6]
11:44:33.0 (1961557)|HEAP_ALLOCATE|[6]|Bytes:4
11:44:33.0 (2119964)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:44:33.0 (2143900)|VARIABLE_ASSIGNMENT|[6]|this.secretKeywords|{"s":1,"v":[]}|0x1d3f298
11:44:33.0 (2147558)|STATEMENT_EXECUTE|[7]
11:44:33.0 (2162185)|HEAP_ALLOCATE|[7]|Bytes:11
11:44:33.0 (2248363)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:44:33.0 (2285244)|STATEMENT_EXECUTE|[8]
11:44:33.0 (2304668)|HEAP_ALLOCATE|[8]|Bytes:15
11:44:33.0 (2346871)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:44:33.0 (2358513)|STATEMENT_EXECUTE|[9]
11:44:33.0 (2374975)|HEAP_ALLOCATE|[9]|Bytes:3
11:44:33.0 (2404915)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:44:33.0 (2412303)|STATEMENT_EXECUTE|[10]
11:44:33.0 (2422956)|HEAP_ALLOCATE|[10]|Bytes:8
11:44:33.0 (2442533)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:44:33.0 (2448678)|STATEMENT_EXECUTE|[11]
11:44:33.0 (2463424)|HEAP_ALLOCATE|[11]|Bytes:10
11:44:33.0 (2493103)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
