36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
11:29:10.0 (391339)|USER_INFO|[EXTERNAL]|00541000001IQl9|wjw@stuff.com|Pacific Standard Time|GMT-08:00
11:29:10.0 (423325)|EXECUTION_STARTED
11:29:10.0 (429246)|CODE_UNIT_STARTED|[EXTERNAL]|01q410000019tMZ|CheckSecretInformation on Case trigger event AfterInsert for [50041000003lnWN]
11:29:10.0 (495098)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:29:10.0 (867088)|HEAP_ALLOCATE|[72]|Bytes:3
11:29:10.0 (898989)|HEAP_ALLOCATE|[77]|Bytes:152
11:29:10.0 (918459)|HEAP_ALLOCATE|[342]|Bytes:408
11:29:10.0 (949191)|HEAP_ALLOCATE|[355]|Bytes:408
11:29:10.0 (979969)|HEAP_ALLOCATE|[467]|Bytes:48
11:29:10.0 (1015165)|HEAP_ALLOCATE|[139]|Bytes:6
11:29:10.0 (1038472)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
11:29:10.0 (1095101)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:29:10.0 (1105834)|VARIABLE_SCOPE_BEGIN|[1]|this|CheckSecretInformation|true|false
11:29:10.0 (1169560)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x7c8ae78f
11:29:10.0 (1226103)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:29:10.0 (1234970)|VARIABLE_SCOPE_BEGIN|[1]|this|CheckSecretInformation|true|false
11:29:10.0 (1253755)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x7c8ae78f
11:29:10.0 (1261865)|STATEMENT_EXECUTE|[1]
11:29:10.0 (1264632)|STATEMENT_EXECUTE|[3]
11:29:10.0 (1269082)|HEAP_ALLOCATE|[3]|Bytes:44
11:29:10.0 (1305438)|HEAP_ALLOCATE|[50]|Bytes:5
11:29:10.0 (1333863)|HEAP_ALLOCATE|[56]|Bytes:5
11:29:10.0 (1346420)|HEAP_ALLOCATE|[64]|Bytes:7
11:29:10.0 (1407775)|VARIABLE_ASSIGNMENT|[3]|this.childCasesSubject|"Warning: Parent case (24 more) ..."|0x7c8ae78f
11:29:10.0 (1413196)|STATEMENT_EXECUTE|[6]
11:29:10.0 (1422793)|HEAP_ALLOCATE|[6]|Bytes:4
11:29:10.0 (1523572)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:29:10.0 (1551249)|VARIABLE_ASSIGNMENT|[6]|this.secretKeywords|{"s":1,"v":[]}|0x7c8ae78f
11:29:10.0 (1556720)|STATEMENT_EXECUTE|[7]
11:29:10.0 (1576134)|HEAP_ALLOCATE|[7]|Bytes:11
11:29:10.0 (1627463)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:29:10.0 (1639477)|STATEMENT_EXECUTE|[8]
11:29:10.0 (1654742)|HEAP_ALLOCATE|[8]|Bytes:15
11:29:10.0 (1687773)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:29:10.0 (1698101)|STATEMENT_EXECUTE|[9]
11:29:10.0 (1711218)|HEAP_ALLOCATE|[9]|Bytes:3
11:29:10.0 (1745938)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:29:10.0 (1756970)|STATEMENT_EXECUTE|[10]
11:29:10.0 (1772551)|HEAP_ALLOCATE|[10]|Bytes:8
11:29:10.0 (1807164)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:29:10.0 (1818145)|STATEMENT_EXECUTE|[11]
11:29:10.0 (1835707)|HEAP_ALLOCATE|[11]|Bytes:10
11:29:10.0 (1876416)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:29:10.0 (1889896)|STATEMENT_EXECUTE|[16]
11:29:10.0 (1898396)|VARIABLE_SCOPE_BEGIN|[16]|i|Integer|false|false
11:29:10.0 (1903510)|HEAP_ALLOCATE|[16]|Bytes:4
11:29:10.0 (1912876)|VARIABLE_ASSIGNMENT|[16]|i|0
11:29:10.0 (1961983)|STATEMENT_EXECUTE|[16]
11:29:10.0 (1965218)|STATEMENT_EXECUTE|[17]
11:29:10.0 (2008055)|HEAP_ALLOCATE|[17]|Bytes:11
11:29:10.0 (2023839)|VARIABLE_SCOPE_BEGIN|[17]|keyword|String|false|false
11:29:10.0 (2034996)|VARIABLE_ASSIGNMENT|[17]|keyword|"Credit Card"
11:29:10.0 (2038944)|STATEMENT_EXECUTE|[21]
11:29:10.0 (2098943)|HEAP_ALLOCATE|[21]|Bytes:4
11:29:10.0 (2169819)|VARIABLE_SCOPE_BEGIN|[21]|casesWithSecretInfo|List<Case>|true|false
11:29:10.0 (2178898)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:29:10.0 (2193991)|VARIABLE_ASSIGNMENT|[21]|casesWithSecretInfo|{"s":1,"v":[]}|0x691bbffc
11:29:10.0 (2439785)|HEAP_ALLOCATE|[22]|Bytes:5
11:29:10.0 (2496621)|VARIABLE_SCOPE_BEGIN|[22]|myCase|Case|true|false
11:29:10.0 (3598285)|VARIABLE_ASSIGNMENT|[22]|myCase|{"Origin":"Phone","Status":"New","LastModifiedDate":"2016-12-29T19:29:10.000Z","IsDeleted":false,"Description":"Credit Card Passport","Priority":"Medium","Product_Has_Extended (12 more) ...":false,"IsClosed":false,"SystemModstamp":"2016-12-29T19:29:10.000Z","BusinessHoursId":"01m41000000XnfnAAC","CreatedById":"00541000001IQl9AAG","IsEscalated":false,"OwnerId":"00541000001IQl9AAG","CreatedDate":"2016-12-29T19:29:10.000Z","IsClosedOnCreate":false,"CaseNumber":"00001083","Id":"50041000003lnWNAAY","LastModifiedById":"00541000001IQl9AAG"}|0x10a97105
11:29:10.0 (3634565)|STATEMENT_EXECUTE|[22]
11:29:10.0 (3673495)|STATEMENT_EXECUTE|[23]
11:29:10.0 (3763815)|STATEMENT_EXECUTE|[25]
11:29:10.0 (3767280)|STATEMENT_EXECUTE|[26]
11:29:10.0 (3799646)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:29:10.0 (3811319)|STATEMENT_EXECUTE|[27]
