36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
11:31:29.0 (412265)|USER_INFO|[EXTERNAL]|00541000001IQl9|wjw@stuff.com|Pacific Standard Time|GMT-08:00
11:31:29.0 (448239)|EXECUTION_STARTED
11:31:29.0 (454189)|CODE_UNIT_STARTED|[EXTERNAL]|01q410000019tMZ|CheckSecretInformation on Case trigger event AfterInsert for [50041000003lnWX]
11:31:29.0 (514558)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:31:29.0 (946992)|HEAP_ALLOCATE|[72]|Bytes:3
11:31:29.0 (983931)|HEAP_ALLOCATE|[77]|Bytes:152
11:31:29.0 (1007212)|HEAP_ALLOCATE|[342]|Bytes:408
11:31:29.0 (1038905)|HEAP_ALLOCATE|[355]|Bytes:408
11:31:29.0 (1068740)|HEAP_ALLOCATE|[467]|Bytes:48
11:31:29.0 (1109094)|HEAP_ALLOCATE|[139]|Bytes:6
11:31:29.0 (1129989)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
11:31:29.0 (1210065)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:31:29.0 (1222332)|VARIABLE_SCOPE_BEGIN|[1]|this|CheckSecretInformation|true|false
11:31:29.0 (1279237)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x2bde5aa6
11:31:29.0 (1326702)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:31:29.0 (1334441)|VARIABLE_SCOPE_BEGIN|[1]|this|CheckSecretInformation|true|false
11:31:29.0 (1348566)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x2bde5aa6
11:31:29.0 (1355238)|STATEMENT_EXECUTE|[1]
11:31:29.0 (1357126)|STATEMENT_EXECUTE|[3]
11:31:29.0 (1360297)|HEAP_ALLOCATE|[3]|Bytes:44
11:31:29.0 (1397860)|HEAP_ALLOCATE|[50]|Bytes:5
11:31:29.0 (1418747)|HEAP_ALLOCATE|[56]|Bytes:5
11:31:29.0 (1426833)|HEAP_ALLOCATE|[64]|Bytes:7
11:31:29.0 (1467608)|VARIABLE_ASSIGNMENT|[3]|this.childCasesSubject|"Warning: Parent case (24 more) ..."|0x2bde5aa6
11:31:29.0 (1470861)|STATEMENT_EXECUTE|[6]
11:31:29.0 (1474844)|HEAP_ALLOCATE|[6]|Bytes:4
11:31:29.0 (1541302)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:31:29.0 (1559627)|VARIABLE_ASSIGNMENT|[6]|this.secretKeywords|{"s":1,"v":[]}|0x2bde5aa6
11:31:29.0 (1562737)|STATEMENT_EXECUTE|[7]
11:31:29.0 (1574905)|HEAP_ALLOCATE|[7]|Bytes:11
11:31:29.0 (1609852)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:31:29.0 (1619210)|STATEMENT_EXECUTE|[8]
11:31:29.0 (1628263)|HEAP_ALLOCATE|[8]|Bytes:15
11:31:29.0 (1649151)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:31:29.0 (1655133)|STATEMENT_EXECUTE|[9]
11:31:29.0 (1663699)|HEAP_ALLOCATE|[9]|Bytes:3
11:31:29.0 (1682792)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:31:29.0 (1688785)|STATEMENT_EXECUTE|[10]
11:31:29.0 (1697333)|HEAP_ALLOCATE|[10]|Bytes:8
11:31:29.0 (1716390)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:31:29.0 (1722492)|STATEMENT_EXECUTE|[11]
11:31:29.0 (1731512)|HEAP_ALLOCATE|[11]|Bytes:10
11:31:29.0 (1750354)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:31:29.0 (1757064)|STATEMENT_EXECUTE|[16]
11:31:29.0 (1762984)|VARIABLE_SCOPE_BEGIN|[16]|i|Integer|false|false
11:31:29.0 (1766900)|HEAP_ALLOCATE|[16]|Bytes:4
11:31:29.0 (1774719)|VARIABLE_ASSIGNMENT|[16]|i|0
11:31:29.0 (1804053)|STATEMENT_EXECUTE|[16]
11:31:29.0 (1806155)|STATEMENT_EXECUTE|[17]
11:31:29.0 (1830864)|HEAP_ALLOCATE|[17]|Bytes:11
11:31:29.0 (1838956)|VARIABLE_SCOPE_BEGIN|[17]|keyword|String|false|false
11:31:29.0 (1846132)|VARIABLE_ASSIGNMENT|[17]|keyword|"Credit Card"
11:31:29.0 (1848602)|STATEMENT_EXECUTE|[21]
11:31:29.0 (1898573)|HEAP_ALLOCATE|[21]|Bytes:4
11:31:29.0 (1958165)|VARIABLE_SCOPE_BEGIN|[21]|casesWithSecretInfo|List<Case>|true|false
11:31:29.0 (1964506)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:31:29.0 (1976640)|VARIABLE_ASSIGNMENT|[21]|casesWithSecretInfo|{"s":1,"v":[]}|0x4b913fda
11:31:29.0 (2158739)|HEAP_ALLOCATE|[22]|Bytes:5
11:31:29.0 (2199872)|VARIABLE_SCOPE_BEGIN|[22]|myCase|Case|true|false
11:31:29.0 (2861987)|VARIABLE_ASSIGNMENT|[22]|myCase|{"Origin":"Phone","Status":"New","LastModifiedDate":"2016-12-29T19:31:29.000Z","IsDeleted":false,"Description":"Passport SSN","Priority":"Medium","Product_Has_Extended (12 more) ...":false,"IsClosed":false,"SystemModstamp":"2016-12-29T19:31:29.000Z","BusinessHoursId":"01m41000000XnfnAAC","CreatedById":"00541000001IQl9AAG","IsEscalated":false,"OwnerId":"00541000001IQl9AAG","CreatedDate":"2016-12-29T19:31:29.000Z","IsClosedOnCreate":false,"CaseNumber":"00001086","Id":"50041000003lnWXAAY","LastModifiedById":"00541000001IQl9AAG"}|0xbe0c4cf
11:31:29.0 (2871010)|STATEMENT_EXECUTE|[22]
11:31:29.0 (2906558)|STATEMENT_EXECUTE|[23]
11:31:29.0 (2985182)|STATEMENT_EXECUTE|[25]
11:31:29.0 (2997948)|HEAP_ALLOCATE|[22]|Bytes:5
