36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
11:27:55.0 (395604)|USER_INFO|[EXTERNAL]|00541000001IQl9|wjw@stuff.com|Pacific Standard Time|GMT-08:00
11:27:55.0 (434994)|EXECUTION_STARTED
11:27:55.0 (441795)|CODE_UNIT_STARTED|[EXTERNAL]|01q410000019tMZ|CheckSecretInformation on Case trigger event AfterInsert for [50041000003lnWI]
11:27:55.0 (491259)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:27:55.0 (958073)|HEAP_ALLOCATE|[72]|Bytes:3
11:27:55.0 (1001853)|HEAP_ALLOCATE|[77]|Bytes:152
11:27:55.0 (1023839)|HEAP_ALLOCATE|[342]|Bytes:408
11:27:55.0 (1044511)|HEAP_ALLOCATE|[355]|Bytes:408
11:27:55.0 (1075336)|HEAP_ALLOCATE|[467]|Bytes:48
11:27:55.0 (1115165)|HEAP_ALLOCATE|[139]|Bytes:6
11:27:55.0 (1135053)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
11:27:55.0 (1211074)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:27:55.0 (1222088)|VARIABLE_SCOPE_BEGIN|[1]|this|CheckSecretInformation|true|false
11:27:55.0 (1288969)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x61490e85
11:27:55.0 (1344139)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:27:55.0 (1354211)|VARIABLE_SCOPE_BEGIN|[1]|this|CheckSecretInformation|true|false
11:27:55.0 (1375676)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x61490e85
11:27:55.0 (1384836)|STATEMENT_EXECUTE|[1]
11:27:55.0 (1387796)|STATEMENT_EXECUTE|[3]
11:27:55.0 (1393695)|HEAP_ALLOCATE|[3]|Bytes:44
11:27:55.0 (1439175)|HEAP_ALLOCATE|[50]|Bytes:5
11:27:55.0 (1468427)|HEAP_ALLOCATE|[56]|Bytes:5
11:27:55.0 (1482074)|HEAP_ALLOCATE|[64]|Bytes:7
11:27:55.0 (1545258)|VARIABLE_ASSIGNMENT|[3]|this.childCasesSubject|"Warning: Parent case (24 more) ..."|0x61490e85
11:27:55.0 (1550488)|STATEMENT_EXECUTE|[6]
11:27:55.0 (1559254)|HEAP_ALLOCATE|[6]|Bytes:4
11:27:55.0 (1658284)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:27:55.0 (1681993)|VARIABLE_ASSIGNMENT|[6]|this.secretKeywords|{"s":1,"v":[]}|0x61490e85
11:27:55.0 (1687677)|STATEMENT_EXECUTE|[7]
11:27:55.0 (1705035)|HEAP_ALLOCATE|[7]|Bytes:11
11:27:55.0 (1751866)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:27:55.0 (1765781)|STATEMENT_EXECUTE|[8]
11:27:55.0 (1784054)|HEAP_ALLOCATE|[8]|Bytes:15
11:27:55.0 (1816665)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:27:55.0 (1824664)|STATEMENT_EXECUTE|[9]
11:27:55.0 (1836399)|HEAP_ALLOCATE|[9]|Bytes:3
11:27:55.0 (1858105)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:27:55.0 (1863937)|STATEMENT_EXECUTE|[10]
11:27:55.0 (1873234)|HEAP_ALLOCATE|[10]|Bytes:8
11:27:55.0 (1893525)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:27:55.0 (1899285)|STATEMENT_EXECUTE|[11]
11:27:55.0 (1908726)|HEAP_ALLOCATE|[11]|Bytes:10
11:27:55.0 (1928792)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:27:55.0 (1936801)|STATEMENT_EXECUTE|[16]
11:27:55.0 (1942909)|VARIABLE_SCOPE_BEGIN|[16]|i|Integer|false|false
11:27:55.0 (1948477)|HEAP_ALLOCATE|[16]|Bytes:4
11:27:55.0 (1958542)|VARIABLE_ASSIGNMENT|[16]|i|0
11:27:55.0 (2005877)|STATEMENT_EXECUTE|[16]
11:27:55.0 (2009354)|STATEMENT_EXECUTE|[17]
11:27:55.0 (2038656)|HEAP_ALLOCATE|[17]|Bytes:11
11:27:55.0 (2047988)|VARIABLE_SCOPE_BEGIN|[17]|keyword|String|false|false
11:27:55.0 (2059247)|VARIABLE_ASSIGNMENT|[17]|keyword|"Credit Card"
11:27:55.0 (2063154)|STATEMENT_EXECUTE|[21]
11:27:55.0 (2118307)|HEAP_ALLOCATE|[21]|Bytes:4
11:27:55.0 (2188175)|VARIABLE_SCOPE_BEGIN|[21]|casesWithSecretInfo|List<Case>|true|false
11:27:55.0 (2197299)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:27:55.0 (2215269)|VARIABLE_ASSIGNMENT|[21]|casesWithSecretInfo|{"s":1,"v":[]}|0x635d2dbb
11:27:55.0 (2468867)|HEAP_ALLOCATE|[22]|Bytes:5
11:27:55.0 (2530094)|VARIABLE_SCOPE_BEGIN|[22]|myCase|Case|true|false
